# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0005	MergerID000162	-165.041	5.933	1.940479e+05	9.404790e+04	1.958363e+05	0.044	7.758	3	17.540	37.372	9.589
run0005	MergerID000164	145.810	73.437	1.327636e+05	8.476360e+04	1.755073e+05	0.030	42.312	3	22.620	4.972	1.384
run0005	MergerID000177	-99.459	3.581	1.165530e+05	5.864496e+04	2.275530e+05	0.026	65.810	3	13.930	31.277	8.474
run0005	MergerID000198	126.153	46.110	2.762529e+05	1.782529e+05	3.690909e+05	0.062	43.090	2	14.080	853.378	237.677
run0005	MergerID000225	12.321	22.852	7.762260e+04	3.762260e+04	7.962445e+04	0.018	12.916	3	32.220	28.012	7.857
run0005	MergerID000231	125.275	0.377	1.366834e+05	7.768340e+04	1.615630e+05	0.031	32.905	3	23.850	29.742	8.957
run0005	MergerID000238	115.790	16.046	1.608523e+05	8.704143e+04	3.368523e+05	0.036	68.936	2	12.790	1284.119	330.052
run0005	MergerID000298	152.756	26.217	1.738719e+05	8.487190e+04	1.767921e+05	0.039	10.450	3	27.310	7.606	2.115
run0005	MergerID000319	-100.692	35.310	1.428713e+05	7.187130e+04	1.484204e+05	0.032	15.792	3	21.220	6.213	1.761
run0005	MergerID000370	28.239	-28.910	1.710796e+05	1.010796e+05	2.092254e+05	0.039	36.049	3	17.430	10.391	2.952
run0005	MergerID000377	-166.719	-47.034	1.774797e+05	9.847970e+04	2.034866e+05	0.040	29.793	3	12.850	67.835	16.088
run0005	MergerID000400	-86.015	-10.972	1.952284e+05	1.082284e+05	2.240820e+05	0.044	29.911	3	13.270	117.301	34.529
run0005	MergerID000407	-11.516	34.199	1.128217e+05	6.282170e+04	1.628217e+05	0.026	49.563	3	16.820	33.169	8.910
run0005	MergerID000412	97.155	14.911	1.018137e+05	6.859430e+04	2.658137e+05	0.023	77.390	3	13.210	162.371	50.692
run0005	MergerID000444	-75.435	40.507	1.527445e+05	7.674450e+04	2.287445e+05	0.035	52.224	3	12.220	61.200	14.147
run0005	MergerID000446	5.406	-23.645	2.144928e+05	1.394928e+05	2.887674e+05	0.049	43.639	2	14.110	1236.070	360.949
run0005	MergerID000451	148.756	40.940	3.017501e+05	1.757501e+05	3.635751e+05	0.068	34.711	3	13.360	202.129	19.461
run0006	MergerID000023	-93.531	66.733	9.988489e+04	6.027915e+04	2.338849e+05	0.023	73.306	3	12.080	70.369	10.731
run0006	MergerID000053	162.678	30.893	2.764002e+05	1.764002e+05	3.651711e+05	0.063	42.268	2	12.920	1161.058	311.693
run0006	MergerID000058	-49.719	14.822	7.736820e+04	4.087422e+04	1.583682e+05	0.017	67.926	3	19.970	29.747	8.220
