run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0410 MergerID000425 135.268 37.087 340747.1 164747.1 341338.9 0.077 3.375 2.0 15.16 933.058 249.887
run0419 MergerID000300 -9.086 -11.072 395223.6 192223.6 396386.2 0.089 4.391 2.0 12.29 1408.846 334.367
run0420 MergerID000152 135.567 35.711 220977.4 106977.4 221202.4 0.05 2.585 2.0 21.14 371.44 69.622
run0421 MergerID000212 74.008 22.998 84720.57 40720.57 85040.26 0.019 4.972 3.0 26.16 8.61 2.485
run0431 MergerID000202 151.593 50.349 356314.3 172314.3 356623.9 0.081 2.388 2.0 12.37 1264.829 311.273
run0436 MergerID000045 148.359 44.64 341744.2 165744.2 342088.5 0.077 2.571 3.0 13.7 557.042 116.465
run0444 MergerID000110 -6.04 38.996 107839.5 51839.5 107958.9 0.024 2.695 3.0 23.97 9.989 3.029
run0444 MergerID000120 8.284 72.095 170222.1 82222.1 170388.0 0.038 2.529 3.0 18.74 13.597 3.263
run0450 MergerID000128 -46.922 -42.458 255558.5 123558.5 255879.1 0.058 2.869 2.0 15.32 829.012 180.724
run0452 MergerID000030 -70.509 -19.379 244513.7 118513.7 244737.5 0.055 2.451 2.0 16.49 593.748 159.702
run0453 MergerID000359 122.892 0.477 144623.7 69623.7 144637.7 0.033 0.797 3.0 25.21 29.417 8.104
run0454 MergerID000028 68.47 -27.736 158100.8 76100.8 158288.4 0.036 2.79 3.0 21.16 5.779 1.623
run0457 MergerID000240 74.106 78.538 120944.6 57944.6 121046.9 0.027 2.356 3.0 29.42 2.971 0.869
run0459 MergerID000090 -132.618 35.23 324797.1 156797.1 325126.1 0.073 2.578 3.0 12.65 20.3 5.359
run0459 MergerID000351 136.764 22.383 357048.5 173048.5 357486.2 0.081 2.836 2.0 13.8 1120.431 275.59
run0460 MergerID000344 60.553 55.065 159926.1 76926.1 160372.4 0.036 4.277 3.0 20.39 17.896 4.579
run0461 MergerID000109 3.613 -53.84 239540.8 115540.8 239699.0 0.054 2.082 3.0 17.92 10.132 2.653
run0461 MergerID000248 -11.694 -44.101 337409.9 163409.9 337680.7 0.076 2.295 3.0 14.1 28.447 6.711
run0467 MergerID000321 3.269 -9.222 325019.9 158019.9 325837.9 0.074 4.062 3.0 13.24 66.317 14.386
run0468 MergerID000072 -150.767 49.968 270581.1 130581.1 270977.2 0.061 3.099 3.0 15.26 23.295 4.625
run0475 MergerID000120 -31.561 -30.63 311515.6 151515.6 312565.8 0.07 4.7 2.0 13.35 1358.607 423.843
run0475 MergerID000227 -107.092 2.911 210610.7 101610.7 210899.6 0.048 3.0 3.0 12.92 28.015 7.517
run0478 MergerID000180 91.198 -18.253 213942.9 102942.9 214028.2 0.048 1.618 3.0 14.86 24.651 6.615
run0478 MergerID000222 -119.328 32.478 165904.4 79904.4 166327.9 0.038 4.091 3.0 20.66 5.181 1.442
run0478 MergerID000299 109.021 38.318 83851.17 39851.17 83980.84 0.019 3.185 3.0 44.88 6.596 1.786
run0481 MergerID000384 -104.862 29.023 273486.3 132486.3 273815.4 0.062 2.81 3.0 12.96 28.605 7.69
run0485 MergerID000348 -31.289 21.312 253960.6 122960.6 254099.4 0.057 1.894 3.0 13.62 88.368 25.635
run0485 MergerID000378 119.809 64.187 212169.9 102169.9 212644.8 0.048 3.831 3.0 20.17 21.26 4.56
